title,developer,url,group,monthlyUsers,totalUsers,rating,reviews,description
Facebook Ad Library Scraper,Curious Coder,https://apify.com/curious_coder/facebook-ads-library-scraper?fpr=youssef,ads-and-trends,5607,41515,4.8,110,Scrape ads from facebook ads library search results and facebook pages. Cost
Facebook Ads Library Scraper,Apify,https://apify.com/apify/facebook-ads-scraper?fpr=youssef,ads-and-trends,5590,37344,4.2,57,"Extract advertising data from Facebook, Instagram, WhatsApp, Threads. Get ads, publishers, prices, reach estimates, impressions, links, images, IDs, timestamps, product info, and more from Facebook Ad Library. Export ad data, schedule runs via API, and integrate with other tools or AI workflows"
Amazon Product Scraper,Junglee,https://apify.com/junglee/Amazon-crawler?fpr=youssef,amazon,2026,23433,4.2,58,"Use this Amazon scraper to collect data based on URL and country from the Amazon website. Extract product information without using the Amazon API, including reviews, prices, descriptions, and Amazon Standard Identification Numbers (ASINs). Download data in various structured formats"
Amazon Reviews Scraper,Junglee,https://apify.com/junglee/amazon-reviews-scraper?fpr=youssef,amazon,1639,13687,3.9,44,"Amazon scraper to extract reviews from Amazon products. Scrape and download detailed reviews without using the Amazon API, including rating score, review description, reactions and images. Download your data as HTML table, JSON, CSV, Excel, XML"
Facebook Marketplace Scraper,Apify,https://apify.com/apify/facebook-marketplace-scraper?fpr=youssef,global-marketplaces,789,10589,3.9,31,"Extract data from one or multiple Facebook Marketplace listings. Scrape data on apartments, whole categories, items for sale, prices, location and sellers. Export scraped data in JSON, CSV, and Excel, run the scraper via API, schedule and monitor runs or integrate with other tools"
eBay Sold Listings Search,Caffein Dev,https://apify.com/caffein.dev/ebay-sold-listings?fpr=youssef,ebay-etsy,653,3296,4.4,14,"Get confirmed eBay sold prices. Search by keyword across 8 marketplaces, filter by date range, and export clean structured data for comps, resale pricing, and market research"
E-commerce Scraping Tool,Apify,https://apify.com/apify/e-commerce-scraping-tool?fpr=youssef,other-ecommerce,637,14817,4.7,50,"Scrape data from e-commerce websites with E-commerce Scraping Tool. Scrape almost any retail site in minutes, extract e-commerce data and use it to monitor price details over time or compare different e-commerce sites’ offerings"
Temu Products Scraper,CRW,https://apify.com/crw/temu-products-scraper?fpr=youssef,chinese-marketplaces,538,1133,5.0,2,"Extract product data from Temu by search keyword. Collect prices, discounts, ratings, sales counts, and images. Supports sort options including relevance, top sales, most recent, and price order. Ideal for dropshipping research, price monitoring, and trend analysis"
Amazon Reviews Scraper,Billy,https://apify.com/web_wanderer/amazon-reviews-extractor?fpr=youssef,amazon,522,5146,3.4,31,"[UPDATED] Scrape Amazon reviews per product! Filter by stars, keywords, media & verified purchases. Extract global reviews (20+ regions). Export JSON/CSV. Perfect for market research & SEO"
"1688 Products Wholesale Scraper - 50+ Fields, 250+ Products/Min",Zen Studio,https://apify.com/zen-studio/1688-wholesale-scraper?fpr=youssef,chinese-marketplaces,499,2182,5,4,"Extract 50+ fields per product from 1688.com at 250+ products/minute. Tiered wholesale pricing, supplier verification, factory stats, dropship channels, certifications, trade service scores. Search by keyword (Chinese/English) or offer IDs. JSON output, no login required"
